Timestamp,Alert_Type,Alert_Level,EAR,MAR,Head_Deviation,Latency_MS
2026-05-30 19:18:00.986,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.4
2026-05-30 19:18:01.369,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.3
2026-05-30 19:18:01.604,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,8.4
2026-05-30 19:18:01.837,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.6
2026-05-30 19:18:02.161,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,9.3
2026-05-30 19:18:06.410,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,9.4
2026-05-30 19:18:06.443,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.1
2026-05-30 19:18:06.474,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.0
2026-05-30 19:18:06.507,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.0
2026-05-30 19:18:06.542,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.3
2026-05-30 19:18:06.575,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.7
2026-05-30 19:18:06.607,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.9
2026-05-30 19:18:06.640,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.7
2026-05-30 19:18:06.678,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.8
2026-05-30 19:18:06.716,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,16.2
2026-05-30 19:18:06.751,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.4
2026-05-30 19:18:06.787,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,16.0
2026-05-30 19:18:06.819,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.2
2026-05-30 19:18:06.850,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.7
2026-05-30 19:18:06.884,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.0
2026-05-30 19:18:06.915,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.5
2026-05-30 19:18:06.948,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.9
2026-05-30 19:18:07.006,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.0
2026-05-30 19:18:07.038,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.0
